ENSG00000138161	CUZD1
ENSG00000169347	GP2
ENSG00000139515	PDX1
ENSG00000122188	LAX1
ENSG00000211974	IGHV2-70
ENSG00000136828	RALGPS1
ENSG00000224373	IGHV4-59
ENSG00000048462	TNFRSF17
ENSG00000144852	NR1I2
ENSG00000164749	HNF4G
ENSG00000120756	PLS1
ENSG00000183508	FAM46C
ENSG00000101076	HNF4A
ENSG00000211964	IGHV3-48
ENSG00000224650	IGHV3-74
ENSG00000266010	RP11-627G18.3
ENSG00000116117	PARD3B
ENSG00000211637	IGLV4-69
ENSG00000127324	TSPAN8
ENSG00000006042	TMEM98
ENSG00000211893	IGHG2
ENSG00000239951	IGKV3-20
ENSG00000211965	IGHV3-49
ENSG00000169876	MUC17
ENSG00000166582	CENPV
ENSG00000105523	FAM83E
ENSG00000211962	IGHV1-46
ENSG00000211659	IGLV3-25
ENSG00000211938	IGHV3-7
ENSG00000158467	AHCYL2
ENSG00000176532	PRR15
ENSG00000153002	CPB1
ENSG00000116871	MAP7D1
ENSG00000158014	SLC30A2
ENSG00000154102	C16orf74
ENSG00000215704	CELA2B
ENSG00000229155	RP11-528A4.2
ENSG00000240864	IGKV1-16
ENSG00000242076	IGKV1-33
ENSG00000141854	CTB-55O6.8
ENSG00000198758	EPS8L3
ENSG00000164237	CMBL
ENSG00000153904	DDAH1
ENSG00000123191	ATP7B
ENSG00000137501	SYTL2
ENSG00000106069	CHN2
ENSG00000163207	IVL
ENSG00000171747	LGALS4
ENSG00000224093	RP5-1033H22.2
ENSG00000211949	IGHV3-23
ENSG00000243466	IGKV1-5
ENSG00000149260	CAPN5
ENSG00000125170	DOK4
ENSG00000114248	LRRC31
ENSG00000240671	IGKV1-8
ENSG00000139055	ERP27
ENSG00000151778	SERP2
ENSG00000137486	ARRB1
ENSG00000211662	IGLV3-21
ENSG00000211973	IGHV1-69
ENSG00000112699	GMDS
ENSG00000211942	IGHV3-13
ENSG00000103460	TOX3
ENSG00000211655	IGLV1-36
ENSG00000232216	IGHV3-43
ENSG00000160145	KALRN
ENSG00000196460	RFX8
ENSG00000175130	MARCKSL1
ENSG00000211941	IGHV3-11
ENSG00000124429	POF1B
ENSG00000169994	MYO7B
ENSG00000166002	C11orf75
ENSG00000129007	CALML4
ENSG00000107281	NPDC1
ENSG00000162998	FRZB
ENSG00000041982	TNC
ENSG00000169562	GJB1
ENSG00000197798	FAM118B
ENSG00000181350	FAM211A
ENSG00000211648	IGLV1-47
ENSG00000102934	PLLP
ENSG00000166387	PPFIBP2
ENSG00000239264	TXNDC5
ENSG00000211890	IGHA2
ENSG00000181784	RNASE4
ENSG00000211651	IGLV1-44
ENSG00000095539	SEMA4G
ENSG00000211611	IGKV6-21
ENSG00000260833	AC124789.1
ENSG00000211955	IGHV3-33
ENSG00000211936	IGHV4-4
ENSG00000110777	POU2AF1
ENSG00000105974	CAV1
ENSG00000162482	AKR7A3
ENSG00000130517	PGPEP1
ENSG00000230316	FEZF1-AS1
ENSG00000258818	RNASE4
ENSG00000225698	IGHV3-72
ENSG00000211943	IGHV3-15
ENSG00000173890	GPR160
ENSG00000064651	SLC12A2
ENSG00000250591	PRSS3P1
ENSG00000080493	SLC4A4
ENSG00000204385	SLC44A4
ENSG00000240038	AMY2B
ENSG00000131242	RAB11FIP4
ENSG00000211947	IGHV3-21
ENSG00000152779	SLC16A12
ENSG00000253755	IGHGP
ENSG00000229647	AC007879.7
ENSG00000211644	IGLV1-51
ENSG00000106541	AGR2
ENSG00000139832	RAB20
ENSG00000172023	REG1B
ENSG00000173702	MUC13
ENSG00000211668	IGLV2-11
ENSG00000100219	XBP1
ENSG00000085276	MECOM
ENSG00000229719	AP001187.9
ENSG00000162817	C1orf115
ENSG00000151623	NR3C2
ENSG00000172965	AC068491.1
ENSG00000181751	C5orf30
ENSG00000010438	PRSS3
ENSG00000211640	IGLV6-57
ENSG00000146648	EGFR
ENSG00000116574	RHOU
ENSG00000138771	SHROOM3
ENSG00000244575	IGKV1-27
ENSG00000243238	IGKV2-30
ENSG00000182240	BACE2
ENSG00000133135	RNF128
ENSG00000211970	IGHV4-61
ENSG00000121797	CCRL2
ENSG00000203697	CAPN8
ENSG00000170608	FOXA3
ENSG00000225485	ARHGAP23
ENSG00000109654	TRIM2
ENSG00000243480	AMY2A
ENSG00000134398	ERN2
ENSG00000104432	IL7
ENSG00000253364	RP11-731F5.2
ENSG00000142197	DOPEY2
ENSG00000019102	VSIG2
ENSG00000250606	PRSS3P2
ENSG00000115616	SLC9A2
ENSG00000095932	C19orf77
ENSG00000135324	MRAP2
ENSG00000009765	IYD
ENSG00000211937	IGHV2-5
ENSG00000211675	IGLC1
ENSG00000142615	CELA2A
ENSG00000146955	RAB19
ENSG00000117791	MARC2
ENSG00000179431	FJX1
ENSG00000168631	DPCR1
ENSG00000196754	S100A2
ENSG00000104537	ANXA13
ENSG00000187699	C2orf88
ENSG00000169894	MUC3A
ENSG00000183960	KCNH8
ENSG00000180745	CLRN3
ENSG00000267596	CCL15
ENSG00000149177	PTPRJ
ENSG00000253818	IGLV1-41
ENSG00000124215	CDH26
ENSG00000149948	HMGA2
ENSG00000231025	RP11-175O19.4
ENSG00000165862	PNLIPRP2
ENSG00000140950	KIAA1609
ENSG00000241935	HOGA1
ENSG00000130545	CRB3
ENSG00000165841	CYP2C19
ENSG00000214274	ANG
ENSG00000128655	PDE11A
ENSG00000064787	BCAS1
ENSG00000152642	GPD1L
ENSG00000225329	RP11-325F22.5
ENSG00000211664	IGLV2-18
ENSG00000166959	MS4A8B
ENSG00000236699	ARHGEF38
ENSG00000124882	EREG
ENSG00000166866	MYO1A
ENSG00000174672	BRSK2
ENSG00000211951	IGHV2-26
ENSG00000112379	KIAA1244
ENSG00000128203	ASPHD2
ENSG00000211454	AKR7L
ENSG00000124233	SEMG1
ENSG00000125247	TMTC4
ENSG00000143850	PLEKHA6
ENSG00000234425	RP11-528G1.2
ENSG00000168350	DEGS2
ENSG00000019505	SYT13
ENSG00000140519	RHCG
ENSG00000163072	NOSTRIN
ENSG00000163131	CTSS
ENSG00000185920	PTCH1
ENSG00000241294	IGKV2-24
ENSG00000072954	TMEM38A
ENSG00000105289	TJP3
ENSG00000133056	PIK3C2B
ENSG00000095585	BLNK
ENSG00000255468	RP11-867G23.8
ENSG00000132356	PRKAA1
ENSG00000176920	FUT2
ENSG00000134627	PIWIL4
ENSG00000226015	CCT8P1
ENSG00000179241	LDLRAD3
ENSG00000076770	MBNL3
ENSG00000120708	TGFBI
ENSG00000186081	KRT5
ENSG00000130675	MNX1
ENSG00000115386	REG1A
ENSG00000138193	PLCE1
ENSG00000174775	HRAS
ENSG00000156110	ADK
ENSG00000135046	ANXA1
ENSG00000180535	BHLHA15
ENSG00000052795	FNIP2
ENSG00000109511	ANXA10
ENSG00000211950	IGHV1-24
ENSG00000178538	CA8
ENSG00000211899	IGHM
ENSG00000070526	ST6GALNAC1
ENSG00000184012	TMPRSS2
ENSG00000225523	IGKV6D-21
ENSG00000211946	IGHV3-20
ENSG00000131069	ACSS2
ENSG00000101150	TPD52L2
ENSG00000233041	PHGR1
ENSG00000249853	HS3ST5
ENSG00000160190	SLC37A1
ENSG00000100170	SLC5A1
ENSG00000116406	EDEM3
ENSG00000160867	FGFR4
ENSG00000170779	CDCA4
ENSG00000124205	EDN3
ENSG00000137731	FXYD2
ENSG00000121380	BCL2L14
ENSG00000196371	FUT4
ENSG00000175592	FOSL1
ENSG00000059573	ALDH18A1
ENSG00000197822	OCLN
ENSG00000211652	IGLV7-43
ENSG00000087502	ERGIC2
ENSG00000124406	ATP8A1
ENSG00000222032	AC112721.2
ENSG00000167748	KLK1
ENSG00000198643	FAM3D
ENSG00000139193	CD27
ENSG00000162174	ASRGL1
ENSG00000134324	LPIN1
ENSG00000211953	IGHV3-30
ENSG00000154274	C4orf19
ENSG00000081923	ATP8B1
ENSG00000241244	IGKV1D-16
ENSG00000257743	RP11-1220K2.2
ENSG00000176595	KBTBD11
ENSG00000167861	HID1
ENSG00000161638	ITGA5
ENSG00000185015	CA13
ENSG00000185386	MAPK11
ENSG00000177459	C8orf47
ENSG00000128610	FEZF1
ENSG00000176153	GPX2
ENSG00000211933	IGHV6-1
ENSG00000224041	IGKV3D-15
ENSG00000101342	C20orf118
ENSG00000096088	PGC
ENSG00000124602	UNC5CL
ENSG00000211892	IGHG4
ENSG00000187908	DMBT1
ENSG00000163618	CADPS
ENSG00000131910	NR0B2
ENSG00000104892	KLC3
ENSG00000186847	KRT14
ENSG00000084444	KIAA1467
ENSG00000148584	A1CF
ENSG00000170540	ARL6IP1
ENSG00000205213	LGR4
ENSG00000165443	PHYHIPL
ENSG00000112874	NUDT12
ENSG00000176014	TUBB6
ENSG00000140526	ABHD2
ENSG00000232872	CTAGE3P
ENSG00000019549	SNAI2
ENSG00000076554	TPD52
ENSG00000088726	TMEM40
ENSG00000167077	MEI1
ENSG00000134243	SORT1
ENSG00000137936	BCAR3
ENSG00000154309	DISP1
ENSG00000128510	CPA4
ENSG00000140299	BNIP2
ENSG00000099834	CDHR5
ENSG00000002822	MAD1L1
ENSG00000259974	LINC00261
ENSG00000075618	FSCN1
ENSG00000132744	ACY3
ENSG00000115963	RND3
ENSG00000211959	IGHV4-39
ENSG00000151694	ADAM17
ENSG00000172016	REG3A
ENSG00000171067	C11orf24
ENSG00000151136	BTBD11
ENSG00000189362	TMEM194B
ENSG00000211669	IGLV3-10
ENSG00000168952	STXBP6
ENSG00000076356	PLXNA2
ENSG00000114805	PLCH1
ENSG00000211671	IGLV2-8
ENSG00000150627	WDR17
ENSG00000173402	DAG1
ENSG00000204613	TRIM10
ENSG00000169116	PARM1
ENSG00000146416	AIG1
ENSG00000119125	GDA
ENSG00000188761	BCL2L15
ENSG00000179914	ITLN1
ENSG00000147509	RGS20
ENSG00000175535	PNLIP
ENSG00000165879	FRAT1
ENSG00000077274	CAPN6
ENSG00000100503	NIN
ENSG00000158715	SLC45A3
ENSG00000181019	NQO1
ENSG00000157399	ARSE
ENSG00000073910	FRY
ENSG00000076826	CAMSAP3
ENSG00000086696	HSD17B2
ENSG00000163694	RBM47
ENSG00000138449	SLC40A1
ENSG00000125148	MT2A
ENSG00000178401	DNAJC22
ENSG00000205420	KRT6A
ENSG00000015520	NPC1L1
ENSG00000175550	DRAP1
ENSG00000179456	ZNF238
ENSG00000108309	RUNDC3A
ENSG00000211650	IGLV5-45
ENSG00000156026	MCU
ENSG00000241755	IGKV1-9
ENSG00000251594	RP11-728F11.1
ENSG00000065361	ERBB3
ENSG00000176406	RIMS2
ENSG00000136883	KIF12
ENSG00000158483	FAM86C1
ENSG00000173597	SULT1B1
ENSG00000101333	PLCB4
ENSG00000260549	MT1L
ENSG00000139154	AEBP2
ENSG00000178301	AQP11
ENSG00000167117	LINC00483
ENSG00000257594	GALNT4
ENSG00000222001	AC106876.2
ENSG00000108187	PBLD
ENSG00000214814	FER1L6
ENSG00000137265	IRF4
ENSG00000154447	SH3RF1
ENSG00000114455	HHLA2
ENSG00000204610	TRIM15
ENSG00000095203	EPB41L4B
ENSG00000135100	HNF1A
ENSG00000178623	GPR35
ENSG00000112144	ICK
ENSG00000108753	HNF1B
ENSG00000185518	SV2B
ENSG00000198910	L1CAM
ENSG00000211952	IGHV4-28
ENSG00000233930	RP13-25N22.1
ENSG00000157388	CACNA1D
ENSG00000179889	PDXDC1
ENSG00000145819	ARHGAP26
ENSG00000231475	IGHV4-31
ENSG00000150712	MTMR12
ENSG00000006611	USH1C
ENSG00000087494	PTHLH
ENSG00000253958	CLDN23
ENSG00000132464	ENAM
ENSG00000111644	ACRBP
ENSG00000122335	SERAC1
ENSG00000248771	RP11-294O2.2
ENSG00000196233	LCOR
ENSG00000102996	MMP15
ENSG00000174684	B3GNT1
ENSG00000172367	PDZD3
ENSG00000189325	C6orf222
ENSG00000165092	ALDH1A1
ENSG00000135048	TMEM2
ENSG00000154930	ACSS1
ENSG00000164124	TMEM144
ENSG00000124786	SLC35B3
ENSG00000148218	ALAD
ENSG00000068489	PRR11
ENSG00000154639	CXADR
ENSG00000065325	GLP2R
ENSG00000102043	MTMR8
ENSG00000188130	MAPK12
ENSG00000109794	FAM149A
ENSG00000240382	IGKV1-17
ENSG00000196187	TMEM63A
ENSG00000143429	AC027612.6
ENSG00000128242	GAL3ST1
ENSG00000161574	CCL15-CCL14
ENSG00000119431	HDHD3
ENSG00000260912	RP11-363E7.4
ENSG00000185963	BICD2
ENSG00000214022	REPIN1
ENSG00000116299	KIAA1324
ENSG00000222041	LINC00152
ENSG00000121742	GJB6
ENSG00000157613	CREB3L1
ENSG00000085871	MGST2
ENSG00000137802	MAPKBP1
ENSG00000007216	SLC13A2
ENSG00000243955	GSTA1
ENSG00000253368	TRNP1
ENSG00000134285	FKBP11
ENSG00000165915	SLC39A13
ENSG00000168765	GSTM4
ENSG00000172548	NIPAL4
ENSG00000211625	IGKV3D-20
ENSG00000217801	RP11-465B22.3
ENSG00000233901	RP11-65J3.1
ENSG00000164930	FZD6
ENSG00000016391	CHDH
ENSG00000188338	SLC38A3
ENSG00000004468	CD38
ENSG00000121989	ACVR2A
ENSG00000130270	ATP8B3
ENSG00000010310	GIPR
ENSG00000198208	RPS6KL1
ENSG00000256546	AC156455.1
ENSG00000167476	JSRP1
ENSG00000213923	CSNK1E
ENSG00000165140	FBP1
ENSG00000141655	TNFRSF11A
ENSG00000026508	CD44
ENSG00000161955	TNFSF13
ENSG00000106688	SLC1A1
ENSG00000172216	CEBPB
ENSG00000144824	PHLDB2
ENSG00000181274	FRAT2
ENSG00000144837	PLA1A
ENSG00000118322	ATP10B
ENSG00000080573	COL5A3
ENSG00000176170	SPHK1
ENSG00000211934	IGHV1-2
ENSG00000140497	SCAMP2
ENSG00000244242	IFITM10
ENSG00000185615	PDIA2
ENSG00000136059	VILL
ENSG00000198380	GFPT1
ENSG00000166535	A2ML1
ENSG00000126773	PCNXL4
ENSG00000211658	IGLV3-27
ENSG00000085511	MAP3K4
ENSG00000116833	NR5A2
ENSG00000059377	TBXAS1
ENSG00000163817	SLC6A20
ENSG00000250644	RP11-295K3.1
ENSG00000143158	MPC2
ENSG00000268220	AC008040.1
ENSG00000137710	RDX
ENSG00000139517	LNX2
ENSG00000088926	F11
ENSG00000185442	FAM174B
ENSG00000165996	PTPLA
ENSG00000171680	PLEKHG5
ENSG00000133466	C1QTNF6
ENSG00000184220	CMSS1
ENSG00000255774	AP000439.3
ENSG00000231013	AC013275.2
ENSG00000186188	O3FAR1
ENSG00000163251	FZD5
ENSG00000213781	PSMC1P2
ENSG00000103034	NDRG4
ENSG00000180884	ZNF792
ENSG00000145287	PLAC8
ENSG00000071539	TRIP13
ENSG00000115306	SPTBN1
ENSG00000183317	EPHA10
ENSG00000196167	C11orf92
ENSG00000152661	GJA1
ENSG00000162437	RAVER2
ENSG00000183760	PAPL
ENSG00000104371	DKK4
ENSG00000147854	UHRF2
ENSG00000151276	MAGI1
ENSG00000223648	IGHV3-64
ENSG00000259498	RP11-244F12.3
ENSG00000213085	CCDC19
ENSG00000117643	MAN1C1
ENSG00000100504	PYGL
ENSG00000165810	BTNL9
ENSG00000008083	JARID2
ENSG00000127831	VIL1
ENSG00000142188	TMEM50B
ENSG00000180628	PCGF5
ENSG00000197991	PCDH20
ENSG00000161270	NPHS1
ENSG00000174358	SLC6A19
ENSG00000177732	SOX12
ENSG00000144136	SLC20A1
ENSG00000139737	SLAIN1
ENSG00000066230	SLC9A3
