Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[individual]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[xenograft]	Characteristics[xenograft host organism]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[individual]	Factor Value[cell line]	Factor Value[xenograft]
Paco2 early_6142069129_A	Homo sapiens	pancreatic ductal adenocarcinoma	Paco2 early_6142069129_A	PACO2	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco2 early_6142069129_A	P-MTAB-47268	Paco2 early_6142069129_A:Biotin	Biotin	P-MTAB-47269	Paco2 early_6142069129_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco2 early_6142069129_A	PACO2	no xenograft
Paco2 late_6142069129_G	Homo sapiens	pancreatic ductal adenocarcinoma	Paco2 late_6142069129_G	PACO2	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco2 late_6142069129_G	P-MTAB-47268	Paco2 late_6142069129_G:Biotin	Biotin	P-MTAB-47269	Paco2 late_6142069129_G:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco2 late_6142069129_G	PACO2	no xenograft
Paco7 early_6142069129_C	Homo sapiens	pancreatic ductal adenocarcinoma	Paco7 early_6142069129_C	PACO7	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco7 early_6142069129_C	P-MTAB-47268	Paco7 early_6142069129_C:Biotin	Biotin	P-MTAB-47269	Paco7 early_6142069129_C:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco7 early_6142069129_C	PACO7	no xenograft
Paco7 late_6142069129_I	Homo sapiens	pancreatic ductal adenocarcinoma	Paco7 late_6142069129_I	PACO7	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco7 late_6142069129_I	P-MTAB-47268	Paco7 late_6142069129_I:Biotin	Biotin	P-MTAB-47269	Paco7 late_6142069129_I:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco7 late_6142069129_I	PACO7	no xenograft
Paco9 early_6142069129_E	Homo sapiens	pancreatic ductal adenocarcinoma	Paco9 early_6142069129_E	PACO9	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco9 early_6142069129_E	P-MTAB-47268	Paco9 early_6142069129_E:Biotin	Biotin	P-MTAB-47269	Paco9 early_6142069129_E:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco9 early_6142069129_E	PACO9	no xenograft
Paco9 late_6142069129_K	Homo sapiens	pancreatic ductal adenocarcinoma	Paco9 late_6142069129_K	PACO9	cancer cell line	no xenograft	not applicable	cell	P-MTAB-47264	P-MTAB-47267	Paco9 late_6142069129_K	P-MTAB-47268	Paco9 late_6142069129_K:Biotin	Biotin	P-MTAB-47269	Paco9 late_6142069129_K:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_lines_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_line_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco9 late_6142069129_K	PACO9	no xenograft
Paco10 DT_6247207005_G	Homo sapiens	pancreatic ductal adenocarcinoma	Paco10 DT_6247207005_G	  	  	PACO10 cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco10 DT_6247207005_G	P-MTAB-47268	Paco10 DT_6247207005_G:Biotin	Biotin	P-MTAB-47269	Paco10 DT_6247207005_G:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco10 DT_6247207005_G	  	PACO10 cell line-derived xenograft
Paco14DT_6247207002_K	Homo sapiens	pancreatic ductal adenocarcinoma	Paco14DT_6247207002_K	  	  	PACO14 cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco14DT_6247207002_K	P-MTAB-47268	Paco14DT_6247207002_K:Biotin	Biotin	P-MTAB-47269	Paco14DT_6247207002_K:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco14DT_6247207002_K	  	PACO14 cell line-derived xenograft
Paco17 DT_6235804021_C	Homo sapiens	pancreatic ductal adenocarcinoma	Paco17 DT_6235804021_C	  	  	Primary patient specimen cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco17 DT_6235804021_C	P-MTAB-47268	Paco17 DT_6235804021_C:Biotin	Biotin	P-MTAB-47269	Paco17 DT_6235804021_C:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco17 DT_6235804021_C	  	Primary patient specimen cell line-derived xenograft
Paco18 DT_6235804021_D	Homo sapiens	pancreatic ductal adenocarcinoma	Paco18 DT_6235804021_D	  	  	Primary patient specimen cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco18 DT_6235804021_D	P-MTAB-47268	Paco18 DT_6235804021_D:Biotin	Biotin	P-MTAB-47269	Paco18 DT_6235804021_D:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco18 DT_6235804021_D	  	Primary patient specimen cell line-derived xenograft
Paco19 DT_9269325003_A	Homo sapiens	pancreatic ductal adenocarcinoma	Paco19 DT_9269325003_A	  	  	PACO19 cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco19 DT_9269325003_A	P-MTAB-47268	Paco19 DT_9269325003_A:Biotin	Biotin	P-MTAB-47269	Paco19 DT_9269325003_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco19 DT_9269325003_A	  	PACO19 cell line-derived xenograft
Paco2 DT_6247207005_A	Homo sapiens	pancreatic ductal adenocarcinoma	Paco2 DT_6247207005_A	  	  	PACO2 cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco2 DT_6247207005_A	P-MTAB-47268	Paco2 DT_6247207005_A:Biotin	Biotin	P-MTAB-47269	Paco2 DT_6247207005_A:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco2 DT_6247207005_A	  	PACO2 cell line-derived xenograft
Paco7 DT 1_6247207005_C	Homo sapiens	pancreatic ductal adenocarcinoma	Paco7 DT 1_6247207005_C	  	  	PACO7 cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco7 DT 1_6247207005_C	P-MTAB-47268	Paco7 DT 1_6247207005_C:Biotin	Biotin	P-MTAB-47269	Paco7 DT 1_6247207005_C:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco7 DT 1_6247207005_C	  	PACO7 cell line-derived xenograft
Paco9 DT_6247207005_F	Homo sapiens	pancreatic ductal adenocarcinoma	Paco9 DT_6247207005_F	  	  	PACO9 cell line-derived xenograft	Mus musculus	organism part	P-MTAB-47265	P-MTAB-47267	Paco9 DT_6247207005_F	P-MTAB-47268	Paco9 DT_6247207005_F:Biotin	Biotin	P-MTAB-47269	Paco9 DT_6247207005_F:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PACO_Xenografts_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PACO_Xenografts_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	Paco9 DT_6247207005_F	  	PACO9 cell line-derived xenograft
PDAC.01.X_9985134029_B	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.01.X_9985134029_B	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.01.X_9985134029_B	P-MTAB-47268	PDAC.01.X_9985134029_B:Biotin	Biotin	P-MTAB-47269	PDAC.01.X_9985134029_B:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.01.X_9985134029_B	  	patient-derived xenograft
PDAC.02.X_100965680046_I	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.02.X_100965680046_I	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.02.X_100965680046_I	P-MTAB-47268	PDAC.02.X_100965680046_I:Biotin	Biotin	P-MTAB-47269	PDAC.02.X_100965680046_I:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.02.X_100965680046_I	  	patient-derived xenograft
PDAC.03.X_9985134029_E	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.03.X_9985134029_E	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.03.X_9985134029_E	P-MTAB-47268	PDAC.03.X_9985134029_E:Biotin	Biotin	P-MTAB-47269	PDAC.03.X_9985134029_E:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.03.X_9985134029_E	  	patient-derived xenograft
PDAC.04.X_9985134029_G	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.04.X_9985134029_G	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.04.X_9985134029_G	P-MTAB-47268	PDAC.04.X_9985134029_G:Biotin	Biotin	P-MTAB-47269	PDAC.04.X_9985134029_G:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.04.X_9985134029_G	  	patient-derived xenograft
PDAC.05.X_9985134029_H	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.05.X_9985134029_H	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.05.X_9985134029_H	P-MTAB-47268	PDAC.05.X_9985134029_H:Biotin	Biotin	P-MTAB-47269	PDAC.05.X_9985134029_H:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.05.X_9985134029_H	  	patient-derived xenograft
PDAC.06.X_9985134029_I	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.06.X_9985134029_I	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.06.X_9985134029_I	P-MTAB-47268	PDAC.06.X_9985134029_I:Biotin	Biotin	P-MTAB-47269	PDAC.06.X_9985134029_I:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.06.X_9985134029_I	  	patient-derived xenograft
PDAC.07.X_9985134029_J	Homo sapiens	pancreatic ductal adenocarcinoma	PDAC.07.X_9985134029_J	  	  	patient-derived xenograft	Mus musculus	organism part	P-MTAB-47266	P-MTAB-47267	PDAC.07.X_9985134029_J	P-MTAB-47268	PDAC.07.X_9985134029_J:Biotin	Biotin	P-MTAB-47269	PDAC.07.X_9985134029_J:Biotin	array assay	A-MEXP-2072	ArrayExpress	P-MTAB-47271	PDAC_Xenograft_Validation_cohort_raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.raw.1.zip	P-MTAB-47270	PDAC_Xenograft_Validation_cohort_qnorm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4029/E-MTAB-4029.processed.1.zip	PDAC.07.X_9985134029_J	  	patient-derived xenograft
